"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
2032,IRRI,IRIS 313-10981,JHUL DIGA::IRGC 26478-1,IRGC 26478,JHUL DIGA,,Bangladesh,IRGC 127456,JHUL DIGA::IRGC 26478-1,,,,Aus/boro,ERS469784,
2033,IRRI,IRIS 313-10982,LUDI GOCHYA::IRGC 26504-1,IRGC 26504,LUDI GOCHYA,,Bangladesh,IRGC 128100,LUDI GOCHYA::IRGC 26504-2,,,,Indica,ERS469785,
2034,IRRI,IRIS 313-10902,KAMPING POUY::IRGC 22876-1,IRGC 22876,KAMPING POUY,,Cambodia,,KAMPING POUY::IRGC 22876-2,,,,Indica,ERS469786,
2035,IRRI,IRIS 313-10983,BOROJYOT::IRGC 26578-1,IRGC 26578,BOROJYOT,,Bangladesh,IRGC 128000,BOROJYOT::IRGC 26578-2,,,,Indica,ERS469787,
2036,IRRI,IRIS 313-10984,DUDHSAR::IRGC 26609-1,IRGC 26609,DUDHSAR,,Bangladesh,IRGC 128034,DUDHSAR::IRGC 26609-2,,,,Indica,ERS469788,
2037,IRRI,IRIS 313-10985,GOBOL SAIL (BALAM)::IRGC 26624-1,IRGC 26624,GOBOL SAIL(BALAM),,Bangladesh,,GOBOL SAIL (BALAM)::IRGC 26624-2,,,,Indica,ERS469789,
2038,IRRI,IRIS 313-10986,HALDI JAON::IRGC 26638-1,IRGC 26638,HALDI JAON,,Bangladesh,IRGC 128048,HALDI JAON::IRGC 26638-2,,,,Indica,ERS469790,
2039,IRRI,IRIS 313-10987,SUNGA WALA::IRGC 26802-1,IRGC 26802,SUNGA WALA,,Bangladesh,,,,,,Aus/boro,ERS469791,
2040,IRRI,IRIS 313-10996,BAKASI::IRGC 27074-1,IRGC 27074,BAKASI,,Indonesia,IRGC 127204,BAKASI::IRGC 27074-1,,,,Indica,ERS469792,
2041,IRRI,IRIS 313-10997,CEMPO MANGGAR::IRGC 27107-1,IRGC 27107,CEMPO MANGGAR,,Indonesia,IRGC 127250,CEMPO MANGGAR::IRGC 27107-1,,,,Indica,ERS469793,
2042,IRRI,IRIS 313-10998,KETAN RASO::IRGC 27154-1,IRGC 27154,KETAN RASO,,Indonesia,,,,,,Indica,ERS469794,
2043,IRRI,IRIS 313-10999,LANDEO::IRGC 27164-1,IRGC 27164,LANDEO,,Indonesia,IRGC 127550,LANDEO::IRGC 27164-1,,,,Tropical japonica,ERS469795,
2044,IRRI,IRIS 313-11000,MAIRUL::IRGC 27170-1,IRGC 27170,MAIRUL,,Indonesia,IRGC 127591,MAIRUL::IRGC 27170-1,,,,Indica,ERS469796,
2045,IRRI,IRIS 313-11001,PAEDAI SOBUDI::IRGC 27222-1,IRGC 27222,PAEDAI SOBUDI,,Indonesia,IRGC 128421,PAEDAI SOBUDI::IRGC 27222-1,,,,Tropical japonica,ERS469797,
2046,IRRI,IRIS 313-11003,PAE MEETO::IRGC 27254-1,IRGC 27254,PAE MEETO,,Indonesia,IRGC 127918,PAE MEETO::IRGC 27254-1,,,,Tropical japonica,ERS469798,
2047,IRRI,IRIS 313-11004,PAE SANGGULA::IRGC 27297-1,IRGC 27297,PAE SANGGULA,,Indonesia,IRGC 128423,PAE SANGGULA::IRGC 27297-1,,,,Tropical japonica,ERS469799,
2048,IRRI,IRIS 313-11005,PULU LOTONG::IRGC 27380-1,IRGC 27380,PULU LOTONG,,Indonesia,IRGC 128140,PULU LOTONG::IRGC 27380-2,,,,Japonica,ERS469800,
2049,IRRI,IRIS 313-10988,CO 36::IRGC 26847-1,IRGC 26847,CO 36,,India,,CO 36::IRGC 26847-2,,,,Indica,ERS469801,
2050,IRRI,IRIS 313-11006,PULU RENNI::IRGC 27386-1,IRGC 27386,PULU RENNI,,Indonesia,IRGC 127747,PULU RENNI::IRGC 27386-1,,,,Indica,ERS469802,
2051,IRRI,IRIS 313-11007,PULUT BONGO::IRGC 27397-1,IRGC 27397,PULUT BONGO,,Indonesia,IRGC 128141,PULUT BONGO::IRGC 27397-2,,,,Japonica,ERS469803,
2052,IRRI,IRIS 313-11008,PULUT CENRANA::IRGC 27400-1,IRGC 27400,PULUT CENRANA,,Indonesia,IRGC 128142,PULUT CENRANA::IRGC 27400-2,,,,Japonica,ERS469804,
2053,IRRI,IRIS 313-11009,PULUT HALAPA::IRGC 27403-1,IRGC 27403,PULUT HALAPA,,Indonesia,IRGC 127749,PULUT HALAPA::IRGC 27403-1,,,,Tropical japonica,ERS469805,
2054,IRRI,IRIS 313-11010,PULUT PUTIH::IRGC 27426-1,IRGC 27426,PULUT PUTIH,,Indonesia,IRGC 127750,PULUT PUTIH::IRGC 27426-1,,,,Indica,ERS469806,
2055,IRRI,IRIS 313-11011,SUNAR::IRGC 27470-1,IRGC 27470,SUNAR,,Indonesia,IRGC 127830,SUNAR::IRGC 27470-1,,,,Indica,ERS469807,
2056,IRRI,IRIS 313-11012,TELURIKAN::IRGC 27478-1,IRGC 27478,TELURIKAN,,Indonesia,,TELURIKAN::IRGC 27478-1,,,,Intermediate type,ERS469808,
2057,IRRI,IRIS 313-11013,BOTESWAR 2::IRGC 27536-1,IRGC 27536,BOTESWAR 2,,Bangladesh,IRGC 127236,BOTESWAR 2::IRGC 27536-1,,,,Aus/boro,ERS469809,
2058,IRRI,IRIS 313-11014,CHAKILA::IRGC 27540-1,IRGC 27540,CHAKILA,,Bangladesh,IRGC 127253,CHAKILA::IRGC 27540-1,,,,Aus/boro,ERS469810,
2059,IRRI,IRIS 313-11015,HANPA::IRGC 27547-1,IRGC 27547,HANPA,,Bangladesh,IRGC 128050,HANPA::IRGC 27547-2,,,,Aus/boro,ERS469811,
2060,IRRI,IRIS 313-10989,GUTTI AKKULLU::IRGC 26850-1,IRGC 26850,GUTTI-AKKULLU,,India,IRGC 128046,GUTTI AKKULLU::IRGC 26850-2,,,,Indica,ERS469812,
2061,IRRI,IRIS 313-11016,KACHILON::IRGC 27555-1,IRGC 27555,KACHILON,,Bangladesh,IRGC 128328,KACHILON::IRGC 27555-1,,,,Aus/boro,ERS469813,
2062,IRRI,IRIS 313-11017,LOROI::IRGC 27567-1,IRGC 27567,LOROI,,Bangladesh,IRGC 128369,LOROI::IRGC 27567-1,,,,Aus/boro,ERS469814,
2063,IRRI,IRIS 313-11018,MADISA::IRGC 27568-1,IRGC 27568,MADISA,,Bangladesh,IRGC 127586,MADISA::IRGC 27568-1,,,,Aus/boro,ERS469815,
2064,IRRI,IRIS 313-11019,PORANG::IRGC 27577-1,IRGC 27577,PORANG,,Bangladesh,IRGC 128436,PORANG::IRGC 27577-1,,,,Aus/boro,ERS469816,
2065,IRRI,IRIS 313-11020,BAMLA SUFFAID 320::IRGC 27776-1,IRGC 27776,BAMLA SUFFAID 320,,Pakistan,IRGC 128236,BAMLA SUFFAID 320::IRGC 27776-1,,,,Aus/boro,ERS469817,
2066,IRRI,IRIS 313-11021,BARA PASHAWARI 390::IRGC 27779-1,IRGC 27779,BARA PASHAWARI 390,,Pakistan,IRGC 127210,BARA PASHAWARI 390::IRGC 27779-1,,,,Basmati/sadri,ERS469818,
2067,IRRI,IRIS 313-11022,BASMATI SUFAID 100::IRGC 27791-1,IRGC 27791,BASMATI SUFAID 100,,Pakistan,,,,,,Basmati/sadri,ERS469819,
2068,IRRI,IRIS 313-11023,BASMATI SURKH 161::IRGC 27797-1,IRGC 27797,BASMATI SURKH 161,,Pakistan,IRGC 127214,BASMATI SURKH 161::IRGC 27797-1,,,,Basmati/sadri,ERS469820,
2069,IRRI,IRIS 313-11024,BEGMI 135::IRGC 27845-1,IRGC 27845,BEGMI 135,,Pakistan,IRGC 127217,BEGMI 135::IRGC 27845-1,,,,Aus/boro,ERS469821,
2070,IRRI,IRIS 313-11025,DHAN 263::IRGC 27926-1,IRGC 27926,DHAN 263,,Pakistan,IRGC 128030,DHAN 263::IRGC 27926-2,,,,Aus/boro,ERS469822,
2071,IRRI,IRIS 313-10990,BALIBUD::IRGC 26871-1,IRGC 26871,BALIBUD,,Philippines,IRGC 127206,BALIBUD::IRGC 26871-1,,,,Indica,ERS469823,
2072,IRRI,IRIS 313-11026,HANSRAJ::IRGC 27936-1,IRGC 27936,HANSRAJ,,Pakistan,,HANSRAJ::IRGC 27936-2,,,,Basmati/sadri,ERS469824,
2073,IRRI,IRIS 313-11027,JHONA 101::IRGC 27976-1,IRGC 27976,JHONA 101,,Pakistan,IRGC 127454,JHONA 101::IRGC 27976-1,,,,Aus/boro,ERS469825,
2074,IRRI,IRIS 313-11028,MOTIA::IRGC 28036-1,IRGC 28036,MOTIA,,Pakistan,IRGC 128393,MOTIA::IRGC 28036-1,,,,Aus/boro,ERS469826,
2075,IRRI,IRIS 313-11029,MUSHKAN 340 A::IRGC 28073-1,IRGC 28073,MUSHKAN 340 A,,Pakistan,IRGC 127641,MUSHKAN 340 A::IRGC 28073-1,,,,Aus/boro,ERS469827,
2076,IRRI,IRIS 313-11030,MUTANT 12-42::IRGC 28076-1,IRGC 28076,MUTANT 12-42,,Pakistan,,,,,,Intermediate type,ERS469828,
2077,IRRI,IRIS 313-11031,NAWAN SATHRA BAGAR 344::IRGC 28079-1,IRGC 28079,NAWAN SATHRA BAGAR 344,,Pakistan,IRGC 128403,NAWAN SATHRA BAGAR 344::IRGC 28079-1,,,,Aus/boro,ERS469829,
2078,IRRI,IRIS 313-11032,PALAM PURI BAS 137::IRGC 28084-1,IRGC 28084,PALAM PURI BAS 137,,Pakistan,IRGC 127710,PALAM PURI BAS 137::IRGC 28084-1,,,,Intermediate type,ERS469830,
2079,IRRI,IRIS 313-11033,RATRIO::IRGC 28181-1,IRGC 28181,RATRIO,,Pakistan,IRGC 128448,RATRIO::IRGC 28181-1,,,,Intermediate type,ERS469831,
2080,IRRI,IRIS 313-11034,SANTHI 206::IRGC 28215-1,IRGC 28215,SANTHI 206,,Pakistan,IRGC 127786,SANTHI 206::IRGC 28215-1,,,,Aus/boro,ERS469832,
2081,IRRI,IRIS 313-11035,ZIRA SHAHI::IRGC 28327-1,IRGC 28327,ZIRA SHAHI,,Pakistan,IRGC 128513,ZIRA SHAHI::IRGC 28327-1,,,,Aus/boro,ERS469833,
2082,IRRI,IRIS 313-10991,GINATOS::IRGC 26876-1,IRGC 26876,GINATOS,,Philippines,IRGC 128298,GINATOS::IRGC 26876-1,,,,Tropical japonica,ERS469834,
2083,IRRI,IRIS 313-11036,34::IRGC 28371-1,IRGC 28371,34,,Pakistan,IRGC 127919,34::IRGC 28371-2,,,,Intermediate type,ERS469835,
2084,IRRI,IRIS 313-11037,421::IRGC 28458-1,IRGC 28458,421,,Pakistan,IRGC 128211,421::IRGC 28458-1,,,,Aus/boro,ERS469836,
2085,IRRI,IRIS 313-11038,AI NAN TSAO 39::IRGC 28461-1,IRGC 28461,AI-NAN-TSAO 39,,China,IRGC 127924,AI NAN TSAO 39::IRGC 28461-2,,,,Indica,ERS469837,
2086,IRRI,IRIS 313-11039,KWANG LU AI 4::IRGC 28480-1,IRGC 28480,KWANG-LU-AI 4,,China,IRGC 128093,KWANG LU AI 4::IRGC 28480-2,,,,Indica,ERS469838,
2087,IRRI,IRIS 313-11040,KAVIVARI SAMBA::IRGC 28597-1,IRGC 28597,KAVIVARI SAMBA,,India,,KAVIVARI SAMBA::IRGC 28597-2,,,,Indica,ERS469839,
2088,IRRI,IRIS 313-11041,POONGAR::IRGC 28611-1,IRGC 28611,POONGAR,,India,IRGC 127738,POONGAR::IRGC 28611-1,,,,Indica,ERS469840,
2089,IRRI,IRIS 313-11042,VELLAIKOTTAI::IRGC 28618-1,IRGC 28618,VELLAIKOTTAI,,India,,,,,,Indica,ERS469841,
2090,IRRI,IRIS 313-11043,BENGKA KERSEK::IRGC 28666-1,IRGC 28666,BENGKA KERSEK,,Malaysia,,,,,,Indica,ERS469842,
2091,IRRI,IRIS 313-11044,BUKU::IRGC 28683-1,IRGC 28683,BUKU,,Malaysia,IRGC 128005,BUKU::IRGC 28683-2,,,,Japonica,ERS469843,
2092,IRRI,IRIS 313-11045,ENGKABANG::IRGC 28694-1,IRGC 28694,ENGKABANG,,Malaysia,IRGC 128039,ENGKABANG::IRGC 28694-2,,,,Tropical japonica,ERS469844,
2093,IRRI,IRIS 313-10992,PILIT TAPUL::IRGC 26887-1,IRGC 26887,PILIT TAPUL,,Philippines,IRGC 127730,PILIT TAPUL::IRGC 26887-1,,,,Tropical japonica,ERS469845,
2094,IRRI,IRIS 313-11046,LALANGIT::IRGC 28715-1,IRGC 28715,LALANGIT,,Malaysia,,LALANGIT::IRGC 28715-1,,,,Japonica,ERS469846,
2095,IRRI,IRIS 313-11047,AUS 84::IRGC 28947-1,IRGC 28947,AUS 84,,Bangladesh,IRGC 127977,AUS 84::IRGC 28947-2,,,,Aus/boro,ERS469847,
2096,IRRI,IRIS 313-11048,AUS 171::IRGC 29004-1,IRGC 29004,AUS 171,,Bangladesh,IRGC 127178,AUS 171::IRGC 29004-1,,,,Aus/boro,ERS469848,
2097,IRRI,IRIS 313-11049,AUS 219::IRGC 29031-1,IRGC 29031,AUS 219,,Bangladesh,IRGC 127179,AUS 219::IRGC 29031-1,,,,Aus/boro,ERS469849,
2098,IRRI,IRIS 313-11050,AUS 233::IRGC 29036-1,IRGC 29036,AUS 233,,Bangladesh,IRGC 127180,AUS 233::IRGC 29036-1,,,,Aus/boro,ERS469850,
2099,IRRI,IRIS 313-11051,AUS 242::IRGC 29040-1,IRGC 29040,AUS 242,,Bangladesh,IRGC 127181,AUS 242::IRGC 29040-1,,,,Aus/boro,ERS469851,
2100,IRRI,IRIS 313-11052,AUS 278::IRGC 29068-1,IRGC 29068,AUS 278,,Bangladesh,IRGC 127182,AUS 278::IRGC 29068-1,,,,Aus/boro,ERS469852,
2101,IRRI,IRIS 313-11053,AUS 282::IRGC 29072-1,IRGC 29072,AUS 282,,Bangladesh,IRGC 127183,AUS 282::IRGC 29072-1,,,,Aus/boro,ERS469853,
2102,IRRI,IRIS 313-11054,AUS 295::IRGC 29083-1,IRGC 29083,AUS 295,,Bangladesh,IRGC 127184,AUS 295::IRGC 29083-1,,,,Aus/boro,ERS469854,
2103,IRRI,IRIS 313-11055,AUS 299::IRGC 29087-1,IRGC 29087,AUS 299,,Bangladesh,IRGC 127185,AUS 299::IRGC 29087-1,,,,Aus/boro,ERS469855,
2104,IRRI,IRIS 313-10993,LANNAB::IRGC 26936-1,IRGC 26936,LANNAB,,Philippines,,LANNAB::IRGC 26936-2,,,,Tropical japonica,ERS469856,
2105,IRRI,IRIS 313-11056,AUS 301::IRGC 29089-1,IRGC 29089,AUS 301,,Bangladesh,IRGC 127186,AUS 301::IRGC 29089-1,,,,Aus/boro,ERS469857,
2106,IRRI,IRIS 313-11057,AUS 308::IRGC 29096-1,IRGC 29096,AUS 308,,Bangladesh,IRGC 127187,AUS 308::IRGC 29096-1,,,,Aus/boro,ERS469858,
2107,IRRI,IRIS 313-11058,AUS 329::IRGC 29116-1,IRGC 29116,AUS 329,,Bangladesh,IRGC 127188,AUS 329::IRGC 29116-1,,,,Aus/boro,ERS469859,
2108,IRRI,IRIS 313-11059,AUS 344::IRGC 29131-1,IRGC 29131,AUS 344,,Bangladesh,IRGC 127189,AUS 344::IRGC 29131-1,,,,Aus/boro,ERS469860,
2109,IRRI,IRIS 313-11060,AUS 359::IRGC 29146-1,IRGC 29146,AUS 359,,Bangladesh,,AUS 359::IRGC 29146-2,,,,Aus/boro,ERS469861,
2110,IRRI,IRIS 313-11061,AUS 449::IRGC 29230-1,IRGC 29230,AUS 449,,Bangladesh,IRGC 127190,AUS 449::IRGC 29230-1,,,,Aus/boro,ERS469862,
2111,IRRI,IRIS 313-11062,BEGUNBICHI 33::IRGC 29260-1,IRGC 29260,BEGUNBICHI 33,,Bangladesh,IRGC 127218,BEGUNBICHI 33::IRGC 29260-1,,,,Basmati/sadri,ERS469863,
2112,IRRI,IRIS 313-11063,BORO 70-2::IRGC 29283-1,IRGC 29283,BORO 70-2,,Bangladesh,,,,,,Aus/boro,ERS469864,
2113,IRRI,IRIS 313-11064,BORO 275::IRGC 29294-1,IRGC 29294,BORO 275,,Bangladesh,,BORO 275::IRGC 29294-2,,,,Aus/boro,ERS469865,
2114,IRRI,IRIS 313-11065,BORO 394::IRGC 29297-1,IRGC 29297,BORO 394,,Bangladesh,,BORO 394::IRGC 29297-2,,,,Aus/boro,ERS469866,
2115,IRRI,IRIS 313-10994,PANGETAN::IRGC 26942-1,IRGC 26942,PANGETAN,,Philippines,,,,,,Japonica,ERS469867,
2116,IRRI,IRIS 313-11066,GASMAL 339::IRGC 29333-1,IRGC 29333,GASMAL 339,,Bangladesh,IRGC 127381,GASMAL 339::IRGC 29333-1,,,,Basmati/sadri,ERS469868,
2117,IRRI,IRIS 313-11067,KALIBORO 600::IRGC 29367-1,IRGC 29367,KALIBORO 600,,Bangladesh,IRGC 127481,KALIBORO 600::IRGC 29367-1,,,,Aus/boro,ERS469869,
2118,IRRI,IRIS 313-11068,PANKAIT 31::IRGC 29377-1,IRGC 29377,PANKAIT 31,,Bangladesh,IRGC 128426,PANKAIT 31::IRGC 29377-1,,,,Basmati/sadri,ERS469870,
2119,IRRI,IRIS 313-11069,TUPA 15-3::IRGC 29416-1,IRGC 29416,TUPA 15-3,,Bangladesh,IRGC 128197,TUPA 15-3::IRGC 29416-2,,,,Basmati/sadri,ERS469871,
2120,IRRI,IRIS 313-11070,BRRI 335::IRGC 29432-1,IRGC 29432,TUPA,,Bangladesh,IRGC 127239,TUPA::IRGC 29432-1,,,,Basmati/sadri,ERS469872,
2121,IRRI,IRIS 313-11071,CHAO HAI::IRGC 29450-1,IRGC 29450,Chao hai,,Laos,IRGC 128011,CHAO HAI::IRGC 29450-2,,,,Indica,ERS469873,
2122,IRRI,IRIS 313-11072,CHAO LEP NOK::IRGC 29451-1,IRGC 29451,Chao lep nok,,Laos,IRGC 128012,CHAO LEP NOK::IRGC 29451-2,,,,Indica,ERS469874,
2123,IRRI,IRIS 313-11073,KHAO DAM::IRGC 29481-1,IRGC 29481,Khao dam,,Laos,,KHAO DAM::IRGC 29481-3,,,,Tropical japonica,ERS469875,
2124,IRRI,IRIS 313-11074,KHAO MAK KHAM::IRGC 29533-1,IRGC 29533,KHAO MAK KHAM,,Laos,,,,,,Indica,ERS469876,
2125,IRRI,IRIS 313-11075,KHAO NAM YEN::IRGC 29546-1,IRGC 29546,Khao nam yen,,Laos,IRGC 128084,KHAO NAM YEN::IRGC 29546-2,,,,Tropical japonica,ERS469877,
2126,IRRI,IRIS 313-10995,ASE BAKKA LOMPO::IRGC 26988-1,IRGC 26988,ASE BAKKA LOMPO,,Indonesia,IRGC 127976,ASE BAKKA LOMPO::IRGC 26988-2,,,,Indica,ERS469878,
2127,IRRI,IRIS 313-11076,LAI NOK KHA::IRGC 29604-1,IRGC 29604,Lai nok kha,,Laos,IRGC 128094,LAI NOK KHA::IRGC 29604-2,,,,Indica,ERS469879,
2128,IRRI,IRIS 313-11077,LAI HANG HMA::IRGC 29608-1,IRGC 29608,Lai hang hma,,Laos,IRGC 128522,LAI HANG HMA::IRGC 29608-2,,,,Tropical japonica,ERS469880,
2129,IRRI,IRIS 313-11078,NON HAI::IRGC 29636-1,IRGC 29636,Non hai,,Laos,,NON HAI::IRGC 29636-2,,,,Indica,ERS469881,
2130,IRRI,IRIS 313-11079,PHAN PHAE::IRGC 29652-1,IRGC 29652,Phan phae,,Laos,IRGC 128132,PHAN PHAE::IRGC 29652-2,,,,Indica,ERS469882,
2131,IRRI,IRIS 313-11080,PHAE MEUN LAN::IRGC 29660-1,IRGC 29660,Phae meun lan,,Laos,IRGC 128430,PHAE MEUN LAN::IRGC 29660-1,,,,Indica,ERS469883,
2132,IRRI,IRIS 313-11089,SRAU THMOR::IRGC 29904-1,IRGC 29904,SRAU THMOR,,Cambodia,IRGC 127824,SRAU THMOR::IRGC 29904-1,,,,Indica,ERS469884,
2133,IRRI,IRIS 313-11090,KEO LAI::IRGC 29969-1,IRGC 29969,Keo lai,,Laos,IRGC 128076,KEO LAI::IRGC 29969-2,,,,Indica,ERS469885,
2134,IRRI,IRIS 313-11091,KHAO NON::IRGC 30051-1,IRGC 30051,Khao non,,Laos,IRGC 127515,KHAO NON::IRGC 30051-1,,,,Indica,ERS469886,
2135,IRRI,IRIS 313-11092,KHAO PA SIEV::IRGC 30063-1,IRGC 30063,Khao pa siev,,Laos,IRGC 127516,KHAO PA SIEV::IRGC 30063-1,,,,Intermediate type,ERS469887,
2136,IRRI,IRIS 313-11093,KHAO TAM::IRGC 30085-1,IRGC 30085,KHAO TAM,,Laos,IRGC 128086,KHAO TAM::IRGC 30085-2,,,,Tropical japonica,ERS469888,
2137,IRRI,IRIS 313-11094,MAK BOUAP::IRGC 30106-1,IRGC 30106,MAK BOUAP,,Laos,,MAK BOUAP::IRGC 30106-3,,,,Tropical japonica,ERS469889,
2138,IRRI,IRIS 313-11095,MAK EA NAM::IRGC 30131-1,IRGC 30131,Mak ea nam,,Laos,IRGC 128104,MAK EA NAM::IRGC 30131-2,,,,Intermediate type,ERS469890,
2139,IRRI,IRIS 313-11096,CADUNG SO BLOC 1::IRGC 30231-1,IRGC 30231,CADUNG SO BLOC 1,,Vietnam,,,,,,Indica,ERS469891,
2140,IRRI,IRIS 313-11097,KALAGNON::IRGC 30335-1,IRGC 30335,KALAGNON,,Philippines,IRGC 127478,KALAGNON::IRGC 30335-1,,,,Indica,ERS469892,
2141,IRRI,IRIS 313-11098,KOLUBA::IRGC 30463-1,IRGC 30463,KOLUBA,,Sierra Leone,,,,,,Indica,ERS469893,
2142,IRRI,IRIS 313-11081,THAO LOUANG::IRGC 29688-1,IRGC 29688,THAO LOUANG,,Laos,IRGC 128184,THAO LOUANG::IRGC 29688-2,,,,Indica,ERS469894,
2143,IRRI,IRIS 313-11099,PECALO::IRGC 30595-1,IRGC 30595,PECALO,,Sierra Leone,,PECALO::IRGC 30595-2,,,,Indica,ERS469895,
2144,IRRI,IRIS 313-11100,MAMON::IRGC 30792-1,IRGC 30792,MAMON,,Liberia,,,,,,Tropical japonica,ERS469896,
2145,IRRI,IRIS 313-11101,Y 115::IRGC 30856-1,IRGC 30856,,,Liberia,IRGC 128202,Y 115::IRGC 30856-2,,,,Indica,ERS469897,
2146,IRRI,IRIS 313-11102,D 1-39::IRGC 30868-1,IRGC 30868,,,Liberia,,,,,,Tropical japonica,ERS469898,
2147,IRRI,IRIS 313-11103,D 1-147::IRGC 30894-1,IRGC 30894,,,Liberia,,D 1-147::IRGC 30894-2,,,,Tropical japonica,ERS469899,
2148,IRRI,IRIS 313-11104,D 3-102::IRGC 30972-1,IRGC 30972,,,Liberia,,D 3-102::IRGC 30972-1,,,,Tropical japonica,ERS469900,
2149,IRRI,IRIS 313-11105,D 3-130::IRGC 30986-1,IRGC 30986,,,Liberia,,D 3-130::IRGC 30986-2,,,,Tropical japonica,ERS469901,
2150,IRRI,IRIS 313-11106,D 4-193::IRGC 31083-1,IRGC 31083,,,Liberia,,D 4-193::IRGC 31083-2,,,,Tropical japonica,ERS469902,
2151,IRRI,IRIS 313-11107,ZANTON::IRGC 31248-1,IRGC 31248,ZANTON,,Liberia,,ZANTON::IRGC 31248-1,,,,Tropical japonica,ERS469903,
2152,IRRI,IRIS 313-11108,B 12::IRGC 31293-1,IRGC 31293,,,Liberia,IRGC 127194,B 12::IRGC 31293-1,,,,Indica,ERS469904,
2153,IRRI,IRIS 313-11082,EA DAM HANG DOK::IRGC 29698-1,IRGC 29698,Ea dam hang dok,,Laos,IRGC 128036,EA DAM HANG DOK::IRGC 29698-2,,,,Indica,ERS469905,
2154,IRRI,IRIS 313-11109,B 106::IRGC 31352-1,IRGC 31352,,,Liberia,IRGC 128231,B 106::IRGC 31352-1,,,,Tropical japonica,ERS469906,
2155,IRRI,IRIS 313-11110,SAYAM::IRGC 31538-1,IRGC 31538,SAYAM,,Sri Lanka,IRGC 128159,SAYAM::IRGC 31538-2,,,,Indica,ERS469907,
2156,IRRI,IRIS 313-11111,SAITA::IRGC 31618-1,IRGC 31618,SAITA,,Bangladesh,IRGC 127778,SAITA::IRGC 31618-1,,,,Aus/boro,ERS469908,
2157,IRRI,IRIS 313-11112,HIJOL DIGA::IRGC 31655-1,IRGC 31655,HIJOL DIGA,,Bangladesh,IRGC 128308,HIJOL DIGA::IRGC 31655-1,,,,Aus/boro,ERS469909,
2158,IRRI,IRIS 313-11113,KAL SHULI::IRGC 31665-1,IRGC 31665,KAL SHULI,,Bangladesh,IRGC 128069,KAL SHULI::IRGC 31665-2,,,,Indica,ERS469910,
2159,IRRI,IRIS 313-11114,BIRUI SAIL::IRGC 31745-1,IRGC 31745,BIRUI SAIL,,Bangladesh,,BIRUI SAIL::IRGC 31745-2,,,,Indica,ERS469911,
2160,IRRI,IRIS 313-11115,KALA MUNA::IRGC 31832-1,IRGC 31832,KALA MUNA,,Bangladesh,IRGC 128066,KALA MUNA::IRGC 31832-2,,,,Indica,ERS469912,
2161,IRRI,IRIS 313-11116,KORTIK KAIKA::IRGC 31841-1,IRGC 31841,KORTIK KAIKA,,Bangladesh,IRGC 127532,KORTIK KAIKA::IRGC 31841-1,,,,Aus/boro,ERS469913,
2162,IRRI,IRIS 313-11117,KAYELI KUNING::IRGC 31974-1,IRGC 31974,KAYELI KUNING,,Indonesia,IRGC 127502,KAYELI KUNING::IRGC 31974-1,,,,Tropical japonica,ERS469914,
2163,IRRI,IRIS 313-11118,SOC NAU (BIEN THE)::IRGC 32074-1,IRGC 32074,SOC NAU(BIEN THE),,Vietnam,,,,,,Indica,ERS469915,
2164,IRRI,IRIS 313-11083,EA TIA::IRGC 29713-1,IRGC 29713,Ea tia,,Laos,,EA TIA::IRGC 29713-2,,,,Indica,ERS469916,
2165,IRRI,IRIS 313-11119,NEP BUNG::IRGC 32207-1,IRGC 32207,NEP BUNG,,Vietnam,,,,,,Indica,ERS469917,
2166,IRRI,IRIS 313-11120,GURULEY::IRGC 32441-1,IRGC 32441,GURULEY,,Bhutan,IRGC 127396,GURULEY::IRGC 32441-1,,,,Indica,ERS469918,
2167,IRRI,IRIS 313-11121,GBRA::IRGC 32474-1,IRGC 32474,GBRA,,Liberia,,GBRA::IRGC 32474-2,,,,Tropical japonica,ERS469919,
2168,IRRI,IRIS 313-11122,IR 1813-694-2::IRGC 32656-1,IRGC 32656,IR 1813-694-2,,Philippines,IRGC 128059,IR 1813-694-2::IRGC 32656-2,,,,Indica,ERS469920,
2169,IRRI,IRIS 313-11123,BAZAIL 975::IRGC 32816-1,IRGC 32816,BAZAIL 975,,Bangladesh,IRGC 127990,BAZAIL 975::IRGC 32816-2,,,,Aus/boro,ERS469921,
2170,IRRI,IRIS 313-11124,BAZAIL 980::IRGC 32817-1,IRGC 32817,BAZAIL 980,,Bangladesh,IRGC 127991,BAZAIL 980::IRGC 32817-2,,,,Aus/boro,ERS469922,
2171,IRRI,IRIS 313-11125,DHALA AMAN 973::IRGC 32861-1,IRGC 32861,DHALA AMAN 973,,Bangladesh,,,,,,Intermediate type,ERS469923,
2172,IRRI,IRIS 313-11126,ANBAW::IRGC 32932-1,IRGC 32932,ANBAW,,Myanmar,IRGC 127926,ANBAW::IRGC 32932-2,,,,Indica,ERS469924,
2173,IRRI,IRIS 313-11127,BUBAW::IRGC 32989-1,IRGC 32989,BUBAW,,Myanmar,,BUBAW::IRGC 32989-2,,,,Tropical japonica,ERS469925,
