"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
85,IRRI,IRIS 313-8660,KOTTEYARAN::IRGC 47383-1-1,IRGC 47383,KOTTEYARAN,,Sri Lanka,IRGC 125616,KOTTEYARAN::IRGC 47383-1,69822386,69822386,14.5,Indica,ERS467837,
86,IRRI,IRIS 313-8743,NIAO YAO::IRGC 5496-1-1,IRGC 5496,NIAO YAO,,Taiwan,IRGC 126075,NIAO YAO::IRGC 5496-1,45095692,45095692,9.4,Indica,ERS467838,
87,IRRI,IRIS 313-9111,XIA ZHI BAI::IRGC 53437-1-1,IRGC 53437,XIA-ZHI-BAI,,China,IRGC 125940,XIA ZHI BAI::IRGC 53437-1,47299150,47299150,9.8,Indica,ERS467839,
88,IRRI,IRIS 313-9351,PARA NELLU::IRGC 50009-1-1,IRGC 50009,PARA NELLU,,India,IRGC 125868,PARA NELLU::IRGC 50009-1,57448590,57448590,11.9,Aus/boro,ERS467840,
89,IRRI,IRIS 313-9388,VARY MALADY MENA::IRGC 51555-1-1,IRGC 51555,VARY MALADY MENA,,Madagascar,IRGC 125931,VARY MALADY MENA::IRGC 51555-1,44940656,44940656,9.3,Indica,ERS467841,
90,IRRI,IRIS 313-10040,MILYANG 77::IRGC 69340-1-1,IRGC 69340,MILYANG 77,,South Korea,IRGC 125840,MILYANG 77::IRGC 69340-1,39927394,39927394,8.3,Indica,ERS467842,
91,IRRI,IRIS 313-10158,PICO NEGRO::IRGC 55849-1-1,IRGC 55849,PICO NEGRO,,Ecuador,IRGC 126080,PICO NEGRO::IRGC 55849-1,76321996,76321996,15.8,Indica,ERS467843,
92,IRRI,IRIS 313-10359,IR 53650-2B-10-1-2-1::IRGC 117379-1-1,IRGC 117379,IR 53650-2B-10-1-2-1,,Philippines,IRGC 125973,IR 53650-2B-10-1-2-1::IRGC 117379-1,40587412,40587412,8.4,Temperate japonica,ERS467844,
93,IRRI,IRIS 313-9438,7507-137::IRGC 40081-1-1,IRGC 40081,7507-137,,Japan,IRGC 121242,7507-137::IRGC 40081-1,,,,Temperate japonica,ERS467845,
94,IRRI,IRIS 313-9724,AI DA ZHONG::IRGC 59348-1-1,IRGC 59348,AI DA ZHONG,,China,,,,,,Temperate japonica,ERS467846,
95,IRRI,IRIS 313-9759,OEIRAS::IRGC 286-1-1,IRGC 286,OEIRAS,,Portugal,IRGC 125860,OEIRAS::IRGC 286-1,41748724,41748724,8.7,Temperate japonica,ERS467847,
96,IRRI,IRIS 313-9880,PI 282203::IRGC 16292-1-1,IRGC 16292,SZEGEDI SZAKALLAS 28,,Hungary,IRGC 121471,PI 282203::IRGC 16292-1,,,,Tropical japonica,ERS467848,
97,IRRI,IRIS 313-8578,KHAU TRA BONG::IRGC 78342-1-1,IRGC 78342,KHAU TRA BONG,,Vietnam,IRGC 125992,KHAU TRA BONG::IRGC 78342-1,57592488,57592488,12.0,Tropical japonica,ERS467849,
98,IRRI,IRIS 313-8594,MINATANDA::IRGC 74613-1-1,IRGC 74613,MINATANDA,,Philippines,,,42617892,42617892,8.8,Temperate japonica,ERS467850,
99,IRRI,IRIS 313-8883,LOMPUG::IRGC 71559-1-1,IRGC 71559,LOMPUG,,Malaysia,,,74921378,74921378,15.5,Intermediate type,ERS467851,
100,IRRI,IRIS 313-9187,WANGKOD::IRGC 71646-1-1,IRGC 71646,WANGKOD,,Malaysia,IRGC 126991,WANGKOD::IRGC 71646-1,41003396,41003396,8.5,Tropical japonica,ERS467852,
101,IRRI,IRIS 313-9267,CHIRGUA 1 I 22::IRGC 3408-1-1,IRGC 3408,CHIRGUA 1 I-22,,Venezuela,IRGC 125703,CHIRGUA 1 I 22::IRGC 3408-1,41816490,41816490,8.7,Tropical japonica,ERS467853,
102,IRRI,IRIS 313-9363,MAYBELLE::IRGC 78629-1-1,IRGC 78629,MAYBELLE,,United States,IRGC 125835,MAYBELLE::IRGC 78629-1,48413094,45272613,9.4,Intermediate type,ERS467854,
103,IRRI,IRIS 313-9392,ARC 11626::IRGC 21528-1-1,IRGC 21528,ARC 11626,,India,IRGC 125642,ARC 11626::IRGC 21528-1,46082022,46082022,9.6,Intermediate type,ERS467855,
104,IRRI,IRIS 313-9818,C 1 6-5-2::IRGC 10669-1-1,IRGC 10669,C1 6-5-2,,Mexico,IRGC 126147,C 1 6-5-2::IRGC 10669-1,36428516,36428516,7.6,Japonica,ERS467856,
105,IRRI,IRIS 313-9928,DEO KITAN::IRGC 47197-1-1,IRGC 47197,DEO-KITAN,,Philippines,IRGC 126057,DEO KITAN::IRGC 47197-1,45993128,45993128,9.5,Tropical japonica,ERS467857,
106,IRRI,IRIS 313-9558,LIMBAYAN::IRGC 71556-1-1,IRGC 71556,LIMBAYAN,,Malaysia,IRGC 126302,LIMBAYAN::IRGC 71556-1,46972228,46972228,9.7,Basmati/sadri,ERS467858,
107,IRRI,IRIS 313-8268,CHHOTE DHAN::IRGC 58930-1-1,IRGC 58930,CHHOTE DHAN,,Nepal,IRGC 117446,CHHOTE DHAN,,,,Intermediate type,ERS467859,
108,IRRI,IRIS 313-8498,ARC 7091::IRGC 20491-1-1,IRGC 20491,ARC 7091,,India,IRGC 126176,ARC 7091::IRGC 20491-1,19370540,19370540,4.0,Aus/boro,ERS467860,
109,IRRI,IRIS 313-8283,KOYRA::IRGC 77267-1-1,IRGC 77267,KOYRA,,Bangladesh,IRGC 121026,KOYRA::IRGC 77267-1,,,,Aus/boro,ERS467861,
110,IRRI,IRIS 313-8641,AUS 439::IRGC 29221-1-1,IRGC 29221,AUS 439,,Bangladesh,IRGC 120876,AUS 439::IRGC 29221-1,,,,Aus/boro,ERS467862,
111,IRRI,IRIS 313-9449,JAMBALI::IRGC 73101-1-1,IRGC 73101,JAMBALI,,Pakistan,IRGC 120996,JAMBALI::IRGC 73101-1,80447050,75353678,15.6,Aus/boro,ERS467863,
112,IRRI,IRIS 313-9641,BEGUM::IRGC 33990-1-1,IRGC 33990,BEGUM,,India,IRGC 125602,BEGUM::IRGC 33990-1,28285754,28285754,5.9,Aus/boro,ERS467864,
113,IRRI,IRIS 313-9695,SOLAY GHAT::IRGC 73121-1-1,IRGC 73121,SOLAY GHAT,,Pakistan,,,51770972,51770972,10.7,Indica,ERS467865,
114,IRRI,IRIS 313-8288,AVO::IRGC 11000-1-1,IRGC 11000,AVO,,Madagascar,IRGC 117430,AVO,57485832,57485832,11.9,Indica,ERS467866,
115,IRRI,IRIS 313-8292,CARREON::IRGC 32575-1-1,IRGC 32575,CARREON,,Philippines,IRGC 117442,CARREON,,,,Tropical japonica,ERS467867,
116,IRRI,IRIS 313-8745,SD 120 SELN (CI 12320)::IRGC 1667-1-1,IRGC 1667,SD120 SELN (CI 12320),,Haiti,IRGC 126087,SD 120 SELN (CI 12320)::IRGC 1667-1,70489296,70489296,14.6,Indica,ERS467868,
117,IRRI,IRIS 313-8791,ARANG::IRGC 43322-1-1,IRGC 43322,ARANG,,Indonesia,IRGC 117423,ARANG,,,,Indica,ERS467869,
118,IRRI,IRIS 313-8903,BPI 76 NON SENSITIVE (GREEN)::IRGC 9790-1-1,IRGC 9790,BPI 76 NON-SENSITIVE(GREEN),,Philippines,IRGC 120902,BPI 76 NON SENSITIVE (GREEN)::IRGC 9790-1,40428028,40428028,8.4,Indica,ERS467870,
119,IRRI,IRIS 313-9606,DA 11::IRGC 6046-1-1,IRGC 6046,DA11,,Bangladesh,IRGC 124431,DA 11::IRGC 6046-1,57988940,57988940,12.0,Indica,ERS467871,
120,IRRI,IRIS 313-10030,NS 252::IRGC 68878-1-1,IRGC 68878,NS252,,Madagascar,IRGC 121075,NS 252::IRGC 68878-1,63062808,63062808,13.1,Indica,ERS467872,
